Date,Opponent,Opp Rank,Location,Results,Won,Conference
"Sat, Mar 03",Cal State Dominguez Hills* *,-,Carson,10 - 0 (W) STATS,1.0,1
"Sat, Mar 03",Cal State Dominguez Hills* *,-,Carson,6 - 3 (W) STATS,1.0,1
"Mon, Mar 05",Cal State Bakersfield* *,-,UC San Diego,4 - 0 (W) STATS,1.0,1
"Mon, Mar 05",Cal State Bakersfield* *,-,UC San Diego,6 - 5 (W) STATS,1.0,1
"Fri, Mar 09",Cal State Stanislaus* *,3,UC San Diego,2 - 1 (W) STATS,1.0,1
"Fri, Mar 09",Cal State Stanislaus* *,3,UC San Diego,6 - 10 (L) STATS,0.0,1
"Sat, Mar 10",Cal State Stanislaus* *,3,UC San Diego,1 - 5 (L) STATS,0.0,1
"Sat, Mar 10",Cal State Stanislaus* *,3,UC San Diego,2 - 13 (L) STATS,0.0,1
"Fri, Mar 16",Cal State Monterey Bay* *,-,Monterey,12 - 4 (W) STATS,1.0,1
"Fri, Mar 16",Cal State Monterey Bay* *,-,Monterey,4 - 7 (L) STATS,0.0,1
"Sat, Mar 17",Cal State Monterey Bay* *,-,Monterey,11 - 8 (W) STATS,1.0,1
"Sat, Mar 17",Cal State Monterey Bay* *,-,Monterey,6 - 1 (W) STATS,1.0,1
"Sun, Mar 25",Cal State San Bernardino* *,-,UC San Diego,3 - 2 (W) STATS,1.0,1
"Sun, Mar 25",Cal State San Bernardino* *,-,UC San Diego,2 - 10 (L) STATS,0.0,1
"Fri, Mar 30",Western Oregon,-,Turlock,4 - 0 (W) STATS,1.0,0
"Fri, Mar 30",Seattle University,-,Turlock,1 - 0 (W) STATS,1.0,0
"Fri, Mar 30",St. Martin's,-,Turlock,11 - 2 (W) STATS,1.0,0
"Sat, Mar 31",Chaminade,-,Turlock,8 - 5 (W) STATS,1.0,0
"Sat, Mar 31",Hawaii-Hilo,12,Turlock,4 - 6 (L) STATS,0.0,0
"Sun, Apr 01",Cal State Bakersfield,-,Turlock,1 - 2 (L) STATS,0.0,0
"Fri, Apr 06",Humboldt State* *,3,UC San Diego,0 - 1 (L) STATS,0.0,1
"Fri, Apr 06",Humboldt State* *,3,UC San Diego,5 - 7 (L) STATS,0.0,1
"Sat, Apr 07",Humboldt State* *,3,UC San Diego,5 - 4 (W) STATS,1.0,1
"Sat, Apr 07",Humboldt State* *,3,UC San Diego,2 - 7 (L) STATS,0.0,1
"Wed, Apr 11",Cal State San Bernardino* *,-,UC San Diego,4 - 3 (W) STATS,1.0,1
"Wed, Apr 11",Cal State San Bernardino* *,-,UC San Diego,3 - 0 (W) STATS,1.0,1
"Sat, Apr 14",Cal State Dominguez Hills* *,-,UC San Diego,8 - 2 (W) STATS,1.0,1
"Sat, Apr 14",Cal State Dominguez Hills* *,-,UC San Diego,7 - 6 (W) 8 inn STATS,1.0,1
"Tue, Apr 17",Cal State Bakersfield* *,-,UC San Diego,5 - 0 (W) STATS,1.0,1
"Tue, Apr 17",Cal State Bakersfield* *,-,UC San Diego,0 - 1 (L) STATS,0.0,1
"Fri, Apr 20",Chico State* *,-,Chico,5 - 0 (W) STATS,1.0,1
"Fri, Apr 20",Chico State* *,-,Chico,4 - 3 (W) STATS,1.0,1
"Sat, Apr 21",Chico State* *,-,Chico,4 - 3 (W) STATS,1.0,1
"Sat, Apr 21",Chico State* *,-,Chico,Cancelled - Rain,,1
"Sat, Apr 28",Cal State San Marcos,-,UC San Diego,7 - 3 (W) STATS,1.0,0
"Sat, Apr 28",Cal State San Marcos,-,UC San Diego,5 - 2 (W) STATS,1.0,0
"Thu, May 03",Cal State Stanislaus,7,Arcata,2 - 6 (L) STATS,0.0,0
"Fri, May 04",San Francisco State,-,Arcata,3 - 5 (L) STATS,0.0,0
"Thu, May 10",Sonoma State,-,Turlock,1 - 0 (W) STATS,1.0,0
"Sat, May 12",Cal State Stanislaus,-,Turlock,0 - 3 (L) STATS,0.0,0
"Sat, May 12",Humboldt State,-,Turlock,0 - 2 (L) STATS,0.0,0
